,Yr_Mo_Dy,RPT,VAL,ROS,KIL,SHA,BIR,DUB,CLA,MUL,CLO,BEL,MAL
34,2061-02-04,10.58,9.46,10.92,8.71,12.46,11.46,12.54,11.04,13.04,11.17,16.5,11.71
35,2061-02-05,22.0,16.75,19.7,11.63,14.25,12.04,13.96,15.54,13.37,13.13,19.33,14.67
36,2061-02-06,24.5,20.75,20.62,15.37,25.33,17.62,19.17,18.79,18.96,14.46,26.38,21.84
37,2061-02-07,18.05,14.37,14.88,9.75,10.96,11.17,14.21,9.71,13.04,12.25,15.21,17.58
38,2061-02-08,24.54,21.42,21.34,11.63,17.04,14.21,16.5,17.33,14.67,17.79,23.79,19.58
39,2061-02-09,17.41,15.92,13.67,10.71,14.0,12.92,14.37,15.71,14.46,14.67,23.04,19.21
40,2061-02-10,20.5,11.54,19.67,10.04,8.12,8.08,11.08,12.54,11.12,12.96,17.83,17.75
41,2061-02-11,16.79,14.0,13.7,9.54,15.83,13.29,17.5,15.5,15.83,14.33,21.17,21.09
42,2061-02-12,16.0,16.92,17.25,8.38,11.75,10.37,11.71,14.37,10.37,14.62,25.41,17.04
43,2061-02-13,22.5,19.7,19.41,15.34,16.13,14.62,16.08,14.12,13.96,16.58,28.62,19.67
44,2061-02-14,17.08,11.63,17.25,12.12,13.75,13.46,15.46,12.29,14.88,15.67,14.09,11.42
45,2061-02-15,6.04,12.08,6.13,4.21,9.87,6.92,5.17,7.41,8.17,9.21,17.12,10.96
46,2061-02-16,16.79,20.17,12.67,13.25,15.29,15.12,3.42,14.29,14.79,13.79,21.92,22.58
47,2061-02-17,15.25,14.09,14.75,9.54,14.62,12.92,6.17,12.58,13.25,14.54,18.21,17.67
48,2061-02-18,12.08,12.38,12.67,6.04,10.71,9.08,10.88,12.38,10.0,11.34,18.58,13.25
49,2061-02-19,16.17,15.59,13.7,,13.5,10.96,9.62,11.83,11.58,13.67,29.63,20.54
50,2061-02-20,11.04,11.08,10.63,8.33,10.92,8.29,7.25,7.75,8.83,11.08,15.09,12.17
51,2061-02-21,7.79,8.63,6.08,2.21,7.41,4.33,3.75,7.04,4.5,7.41,12.12,6.67
52,2061-02-22,12.29,13.21,13.54,6.46,11.58,9.21,8.25,10.29,9.21,13.08,15.25,13.21
53,2061-02-23,22.08,17.46,18.88,12.42,20.5,16.13,16.38,16.92,13.21,18.0,23.21,21.21
54,2061-02-24,8.71,7.08,11.38,4.83,5.96,4.58,8.17,4.67,6.21,7.0,9.59,9.21
55,2061-02-25,18.84,16.42,17.41,10.21,16.13,11.38,13.08,12.21,12.33,12.5,16.04,13.92
56,2061-02-26,25.8,21.5,22.42,15.21,23.09,16.88,21.17,17.25,18.46,20.04,22.83,23.87
57,2061-02-27,11.0,13.37,11.17,6.87,13.21,8.75,12.75,10.83,10.88,12.67,20.0,17.54
58,2061-02-28,12.92,12.75,,8.92,16.13,12.29,14.75,14.46,13.96,14.04,18.41,13.17
59,2061-03-01,12.67,13.13,11.79,6.42,9.79,8.54,10.25,13.29,,12.21,20.62,
60,2061-03-02,12.58,10.04,11.17,7.12,10.29,9.21,10.88,10.5,10.58,12.96,18.38,13.79
61,2061-03-03,13.33,15.54,13.67,9.59,11.58,8.71,11.29,12.83,8.92,14.09,23.45,16.38
62,2061-03-04,10.96,8.83,8.17,5.88,8.25,6.0,6.21,5.66,6.25,9.79,12.46,8.83
63,2061-03-05,11.25,17.0,10.41,10.04,15.46,11.17,5.5,10.34,11.71,10.83,11.58,14.0
64,2061-03-06,4.88,8.08,7.54,3.13,5.41,4.08,2.83,5.29,5.21,5.09,10.21,5.54
65,2061-03-07,6.46,10.5,8.0,5.41,10.58,6.58,3.63,6.67,7.08,7.04,16.08,8.75
66,2061-03-08,7.54,8.33,9.29,8.12,11.0,10.58,1.71,8.5,8.71,9.71,17.58,15.37
67,2061-03-09,11.96,13.13,10.17,9.46,14.17,12.67,3.75,9.71,12.46,11.54,17.54,18.16
68,2061-03-10,10.63,10.17,9.04,5.13,10.5,7.92,8.79,7.92,8.87,10.5,12.29,13.5
69,2061-03-11,14.79,16.96,15.5,8.46,10.0,10.92,10.34,15.67,10.58,13.54,22.71,17.08
70,2061-03-12,,13.88,16.38,10.25,14.92,13.67,17.12,13.7,16.29,15.79,20.5,22.54
71,2061-03-13,11.21,11.34,12.33,5.63,11.17,10.58,13.96,10.5,13.88,11.5,19.7,18.88
72,2061-03-14,12.12,15.29,12.75,5.17,9.38,7.04,8.12,11.12,8.75,9.29,20.04,15.71
73,2061-03-15,11.12,15.54,13.96,8.42,10.88,8.83,11.54,13.54,8.46,13.92,22.13,14.12
74,2061-03-16,4.92,12.92,5.25,4.29,8.96,7.04,2.75,5.13,6.0,7.29,20.12,11.42
75,2061-03-17,15.71,14.71,11.21,8.87,14.37,10.75,13.0,14.29,13.08,15.34,22.79,19.17
76,2061-03-18,16.88,15.25,12.29,11.04,13.67,10.54,13.17,10.46,13.5,14.67,19.38,22.95
77,2061-03-19,11.42,9.46,13.46,6.17,6.83,5.79,7.75,6.5,7.04,9.38,11.29,11.34
78,2061-03-20,13.75,10.41,12.0,10.75,11.46,10.29,15.41,10.04,13.67,13.83,14.29,21.09
79,2061-03-21,9.54,10.58,15.63,7.29,7.54,7.71,8.17,6.58,8.58,10.5,9.38,14.88
80,2061-03-22,6.34,4.42,5.71,4.42,5.13,4.29,8.0,4.92,8.0,9.04,8.25,13.13
81,2061-03-23,6.38,2.58,4.79,5.13,6.46,7.21,10.88,7.38,9.79,8.33,15.21,18.34
82,2061-03-24,6.29,7.46,6.75,4.54,8.25,6.25,8.46,10.34,10.0,10.29,14.42,15.46
83,2061-03-25,9.67,11.63,10.41,5.58,10.58,9.92,10.75,13.04,11.92,14.5,21.34,21.54
84,2061-03-26,15.0,11.63,12.58,8.83,13.33,10.21,13.75,10.54,14.37,13.88,15.37,22.5
85,2061-03-27,5.88,3.5,5.17,2.75,2.83,3.5,6.75,1.46,6.5,7.12,7.21,15.34
86,2061-03-28,8.46,10.63,12.04,,7.83,6.79,10.88,10.92,9.54,10.63,18.16,19.58
87,2061-03-29,18.25,16.29,14.96,12.0,18.34,14.33,16.62,13.37,17.54,14.21,18.63,16.83
88,2061-03-30,17.75,12.92,11.79,10.13,16.08,14.21,14.79,14.92,,13.46,15.67,13.17
89,2061-03-31,8.96,8.04,9.13,8.5,10.75,9.54,11.92,9.59,11.25,8.54,11.96,12.21
90,2061-04-01,8.38,6.34,8.33,6.75,9.33,9.54,11.67,8.21,11.21,6.46,11.96,7.17
91,2061-04-02,7.62,4.25,5.09,3.67,4.67,6.25,5.25,4.96,6.83,7.0,10.71,13.0
92,2061-04-03,15.29,8.63,15.67,4.12,10.25,9.04,5.5,8.54,7.58,4.96,11.08,9.38
93,2061-04-04,13.92,13.67,13.88,6.75,9.79,6.38,6.0,8.54,7.67,8.08,14.5,11.92
94,2061-04-05,18.12,14.62,18.29,10.63,13.33,10.83,9.25,8.21,10.34,8.5,17.16,13.13
95,2061-04-06,4.5,8.21,9.29,3.21,5.96,4.33,5.0,7.33,6.13,6.54,10.25,11.5
96,2061-04-07,8.21,7.04,13.75,3.75,6.0,5.0,5.33,4.0,5.66,3.67,7.62,7.21
97,2061-04-08,10.34,11.29,11.29,4.42,9.38,7.67,8.71,10.08,9.21,8.42,11.25,11.12
98,2061-04-09,13.37,11.12,13.08,8.83,11.75,10.21,9.96,9.59,10.54,10.5,10.13,15.34
99,2061-04-10,5.75,4.83,8.25,3.0,5.88,4.25,5.21,3.58,6.0,4.58,7.62,11.25
100,2061-04-11,10.5,12.25,12.58,6.96,8.71,8.58,5.66,9.92,9.0,9.67,16.17,12.87
101,2061-04-12,10.63,10.04,11.38,5.13,5.71,5.13,6.54,4.75,4.5,5.17,8.5,6.38
102,2061-04-13,15.5,9.29,15.79,9.71,7.29,7.17,8.0,4.75,7.87,7.58,7.17,5.66
103,2061-04-14,10.5,6.17,4.5,5.0,8.67,5.0,4.29,4.5,5.71,7.79,8.5,7.71
104,2061-04-15,5.17,6.42,3.92,2.67,3.37,1.54,2.46,2.29,3.58,4.0,5.75,6.79
105,2061-04-16,4.71,7.0,5.09,2.33,5.21,2.96,2.88,5.17,3.37,4.46,12.67,10.17
106,2061-04-17,4.0,3.71,3.33,1.58,2.21,0.83,4.46,2.54,3.58,3.83,10.04,7.25
107,2061-04-18,10.83,12.42,6.04,5.5,11.92,7.08,5.66,9.96,7.46,9.46,12.92,11.58
108,2061-04-19,16.71,13.96,14.67,11.42,14.37,11.63,12.96,13.25,13.29,14.37,19.21,20.46
109,2061-04-20,21.09,15.41,17.0,11.63,13.25,11.17,12.25,10.54,11.29,11.58,18.05,20.08
110,2061-04-21,15.34,14.04,15.87,9.79,11.71,8.79,9.5,12.25,9.0,9.87,17.54,12.29
111,2061-04-22,8.17,5.66,6.92,4.79,7.87,5.09,7.46,4.83,4.88,7.12,6.75,4.96
112,2061-04-23,12.21,7.87,7.96,9.67,11.17,10.0,10.71,10.41,11.87,10.63,10.83,10.67
113,2061-04-24,9.54,8.04,9.13,4.79,7.54,5.75,5.25,7.08,6.0,7.62,9.87,8.46
114,2061-04-25,14.04,11.96,14.96,7.87,10.75,8.83,13.75,11.96,11.08,11.46,12.17,17.5
115,2061-04-26,16.29,14.46,6.92,5.88,12.62,7.46,6.0,6.34,7.54,6.0,8.33,12.12
116,2061-04-27,4.08,7.04,7.92,3.83,3.88,3.13,6.25,3.17,5.41,4.71,7.29,7.75
117,2061-04-28,5.58,6.5,2.54,1.87,4.21,1.54,2.67,1.38,2.54,2.71,5.13,3.21
118,2061-04-29,9.62,9.59,6.96,3.83,6.83,3.88,4.04,6.46,4.17,4.12,13.04,2.67
119,2061-04-30,11.67,11.0,9.54,5.54,9.42,5.79,5.09,8.25,6.96,6.25,12.21,8.75
120,2061-05-01,15.87,13.88,15.37,9.79,13.46,10.17,9.96,14.04,9.75,9.92,18.63,11.12
121,2061-05-02,19.04,14.83,14.92,8.67,15.63,11.63,10.46,9.75,11.21,10.71,12.96,12.67
122,2061-05-03,11.0,10.92,12.87,8.67,10.58,8.42,9.5,10.04,9.62,9.42,15.46,12.25
123,2061-05-04,9.87,10.29,8.42,7.5,9.42,7.33,5.96,6.25,7.79,8.92,4.79,3.83
124,2061-05-05,10.63,10.37,9.17,6.46,9.83,8.0,9.13,9.87,10.04,8.63,16.29,12.42
125,2061-05-06,23.0,19.79,21.21,14.12,22.34,15.04,16.83,17.71,16.29,17.54,28.08,23.13
126,2061-05-07,18.16,17.71,14.88,14.46,23.16,15.46,18.21,18.05,17.04,15.96,26.63,26.58
127,2061-05-08,12.79,10.08,12.33,10.75,15.71,14.04,18.58,15.79,17.33,17.92,18.66,26.3
128,2061-05-09,6.04,3.96,7.0,3.83,4.17,4.0,7.25,3.37,7.08,9.21,6.54,11.38
129,2061-05-10,4.79,6.21,4.63,1.04,3.42,1.17,3.33,3.79,2.46,1.83,7.58,3.88
130,2061-05-11,3.54,7.54,5.33,2.08,5.25,1.58,3.67,3.71,2.62,3.04,9.25,5.96
131,2061-05-12,7.0,15.12,9.17,4.54,11.21,5.91,,4.04,5.25,4.38,10.63,9.5
132,2061-05-13,11.0,11.54,11.71,8.83,12.83,9.92,5.21,8.71,7.92,8.63,9.17,12.33
133,2061-05-14,9.25,6.54,7.04,6.0,11.46,8.12,10.04,9.96,10.04,9.75,11.12,3.33
134,2061-05-15,9.62,3.92,9.75,3.88,5.63,3.46,5.91,5.88,6.38,6.25,6.63,8.42
135,2061-05-16,15.04,10.17,15.25,5.17,12.92,6.79,8.38,11.12,9.46,9.17,12.0,13.7
136,2061-05-17,10.0,6.54,15.63,4.88,8.21,6.75,5.83,7.38,8.0,7.96,9.46,8.21
137,2061-05-18,4.88,3.58,15.96,3.71,6.34,3.83,5.04,3.79,5.0,4.17,7.29,5.91
138,2061-05-19,5.0,5.29,5.91,3.63,7.25,4.17,6.83,6.79,7.17,9.29,10.83,14.96
139,2061-05-20,6.21,,10.13,4.83,7.33,5.66,4.71,7.58,7.0,8.67,10.41,12.75
140,2061-05-21,6.83,4.29,11.67,3.71,5.5,4.5,3.17,6.25,4.92,4.29,10.75,10.34
141,2061-05-22,6.25,3.67,5.33,2.5,4.17,3.79,2.42,4.21,4.63,5.37,8.21,10.92
142,2061-05-23,4.96,3.96,3.58,2.42,3.75,2.25,3.13,2.83,4.5,5.54,6.13,8.67
143,2061-05-24,5.54,5.96,3.71,3.37,3.92,1.63,4.0,3.37,4.92,6.5,8.83,12.29
144,2061-05-25,7.67,11.17,13.13,5.5,9.13,6.04,6.79,7.96,7.33,10.46,13.88,17.04
145,2061-05-26,11.79,12.5,20.96,,10.21,6.5,9.33,12.08,9.59,11.46,14.33,16.58
146,2061-05-27,10.92,6.79,6.46,5.41,10.0,5.25,4.92,7.04,7.29,8.25,10.46,8.0
147,2061-05-28,9.96,7.67,6.42,3.29,7.41,3.33,5.41,6.42,4.5,5.17,11.79,8.38
148,2061-05-29,12.04,6.67,15.96,9.87,8.04,8.46,11.71,9.21,11.17,12.04,11.54,17.96
149,2061-05-30,10.0,4.75,9.21,3.42,7.67,5.25,5.83,7.21,6.34,5.91,8.71,12.92
150,2061-05-31,7.0,9.79,12.25,4.83,8.25,5.37,6.58,9.29,6.58,7.12,11.87,10.63
151,2061-06-01,15.92,9.59,12.04,8.79,11.54,6.04,9.75,8.29,9.33,10.34,10.67,12.12
152,2061-06-02,11.29,6.34,6.92,6.71,12.12,7.79,7.92,8.71,9.83,9.17,12.42,15.71
153,2061-06-03,7.5,8.29,6.83,5.88,12.87,7.08,10.41,7.87,10.46,10.34,13.88,14.42
154,2061-06-04,8.5,6.42,7.25,4.67,7.79,5.17,6.21,9.87,7.29,8.33,17.0,11.42
155,2061-06-05,11.58,11.54,7.5,5.66,9.96,6.04,3.42,9.17,8.08,10.92,16.17,12.29
156,2061-06-06,8.33,8.54,6.13,3.21,8.58,5.17,4.21,7.96,6.92,6.71,11.42,8.75
157,2061-06-07,11.92,9.42,8.96,6.34,13.13,8.63,8.17,9.71,9.59,9.87,13.25,16.38
158,2061-06-08,12.17,8.87,8.17,6.92,11.92,7.46,9.54,9.59,10.58,10.37,11.21,19.83
159,2061-06-09,9.71,7.79,8.29,4.29,7.75,4.38,8.29,4.38,8.08,8.83,7.79,14.21
160,2061-06-10,14.42,9.96,11.58,6.79,11.54,4.67,9.71,4.25,7.58,6.87,5.83,8.33
161,2061-06-11,8.29,6.83,6.04,3.29,7.33,1.87,6.25,3.13,5.41,5.21,5.37,5.96
162,2061-06-12,9.25,7.08,13.46,5.17,5.66,3.63,9.17,2.88,6.5,6.83,7.29,11.34
163,2061-06-13,6.13,4.12,6.5,2.92,3.5,1.58,4.67,3.63,4.21,3.08,7.71,6.13
164,2061-06-14,8.33,12.42,8.71,6.79,11.87,7.12,5.66,8.63,8.08,10.25,20.21,11.83
165,2061-06-15,9.96,8.17,10.54,5.88,10.25,6.92,8.25,9.29,9.5,9.25,14.58,13.96
166,2061-06-16,13.88,14.54,13.75,8.29,13.29,10.0,10.54,16.54,11.54,14.71,25.25,20.88
167,2061-06-17,14.33,11.34,15.5,9.42,12.33,9.04,12.96,9.5,11.0,10.5,14.67,16.33
168,2061-06-18,12.12,9.29,7.67,7.17,14.92,10.34,13.7,13.25,12.12,12.54,17.75,24.71
169,2061-06-19,8.92,6.38,7.67,6.42,11.34,7.75,10.37,9.38,10.29,10.17,12.92,16.88
170,2061-06-20,4.0,3.25,5.13,2.88,8.58,4.46,7.92,6.34,6.5,7.83,11.0,14.25
171,2061-06-21,8.54,9.5,10.37,6.63,11.5,7.33,10.54,9.83,9.54,10.17,14.71,13.75
172,2061-06-22,8.83,6.25,6.38,6.42,11.96,8.58,13.29,9.29,11.54,11.0,13.25,18.91
173,2061-06-23,5.71,4.21,7.79,5.29,11.58,7.33,14.21,7.38,11.46,11.63,14.96,21.5
174,2061-06-24,6.42,4.92,9.33,4.75,12.17,8.33,14.88,11.87,12.92,15.0,19.08,20.75
175,2061-06-25,9.0,8.25,9.92,5.96,13.21,8.67,11.87,12.04,10.96,13.0,14.67,15.83
176,2061-06-26,13.13,11.42,7.62,7.08,12.42,5.96,8.38,7.75,9.67,10.04,10.83,11.63
177,2061-06-27,9.0,6.34,8.0,5.71,8.04,6.96,10.54,8.96,10.41,10.37,13.29,16.79
178,2061-06-28,7.75,9.71,9.21,5.83,11.12,6.25,8.79,12.83,7.38,11.58,19.92,16.38
179,2061-06-29,,10.46,7.96,6.79,12.62,7.08,8.33,9.46,7.08,10.92,20.88,10.79
180,2061-06-30,12.29,14.37,10.79,10.54,13.83,9.59,4.92,13.7,8.75,12.38,21.87,
181,2061-07-01,7.21,6.83,7.71,4.42,8.46,4.79,6.71,6.0,5.79,7.96,6.96,8.71
182,2061-07-02,12.04,7.25,9.25,7.04,10.34,4.92,5.83,5.96,6.25,8.63,8.0,8.5
183,2061-07-03,15.34,10.58,12.17,10.08,18.58,11.38,15.75,14.33,15.46,16.79,20.41,21.29
184,2061-07-04,17.5,10.75,14.92,12.0,12.62,9.62,14.92,11.08,13.13,13.5,12.46,19.67
185,2061-07-05,11.5,4.96,7.62,5.83,8.92,6.17,10.08,5.58,8.08,8.75,7.08,12.42
186,2061-07-06,8.0,3.75,7.62,3.54,8.0,4.58,7.08,6.87,6.25,6.21,10.21,12.08
187,2061-07-07,11.17,7.21,7.41,8.12,14.29,9.75,,9.96,13.04,11.54,15.34,17.41
188,2061-07-08,11.21,7.58,7.83,7.87,14.42,8.38,14.04,10.96,11.63,9.33,11.83,16.04
189,2061-07-09,7.29,5.71,7.67,5.37,10.63,6.0,9.46,6.38,7.54,7.71,8.21,13.0
190,2061-07-10,8.63,7.87,9.33,5.58,9.46,3.46,2.67,2.96,2.92,4.25,5.04,5.96
191,2061-07-11,11.08,11.42,10.37,6.87,9.46,5.63,7.41,8.17,6.5,8.38,10.21,13.29
192,2061-07-12,19.46,16.88,12.29,10.08,15.04,8.83,9.08,11.75,10.5,10.71,17.21,9.92
193,2061-07-13,16.75,13.79,12.92,12.33,19.95,13.17,16.83,16.17,15.37,14.92,20.25,21.96
194,2061-07-14,22.5,19.29,14.29,12.42,20.88,10.17,11.83,12.33,10.63,10.88,15.63,14.0
195,2061-07-15,16.92,14.5,8.0,7.62,12.21,7.92,10.25,10.96,8.92,10.17,14.09,9.92
196,2061-07-16,21.42,10.88,11.0,10.04,14.67,9.71,13.13,11.21,11.87,11.79,12.21,12.62
197,2061-07-17,4.25,3.08,5.46,1.46,5.04,1.96,7.08,5.21,5.66,7.62,6.17,9.13
198,2061-07-18,4.38,6.79,5.29,4.63,7.33,3.88,4.96,7.79,6.5,7.75,9.79,10.83
199,2061-07-19,5.17,3.42,6.63,2.96,6.75,2.92,3.5,7.29,5.58,7.0,10.13,10.92
200,2061-07-20,5.88,2.92,4.08,2.42,6.21,2.71,3.04,5.46,5.63,5.37,7.29,8.33
201,2061-07-21,3.33,4.58,6.96,4.67,5.75,2.79,2.21,5.13,4.25,5.09,7.08,8.25
202,2061-07-22,3.37,5.29,6.08,3.67,5.54,2.58,4.75,5.25,5.46,5.54,8.0,6.04
203,2061-07-23,3.04,3.71,12.67,3.29,6.17,2.17,2.21,3.37,4.0,3.92,4.21,5.41
204,2061-07-24,7.0,4.63,6.42,2.83,4.96,2.92,3.58,4.17,2.21,4.92,9.25,6.13
205,2061-07-25,15.92,13.79,15.67,8.63,14.33,9.33,12.29,14.09,11.63,15.37,22.17,19.5
206,2061-07-26,11.46,7.5,10.46,9.92,17.5,13.5,18.79,15.16,15.59,15.75,19.38,25.37
207,2061-07-27,10.13,8.83,6.79,3.75,9.5,4.54,7.87,6.46,6.83,6.63,7.87,13.0
208,2061-07-28,16.08,9.13,10.29,7.33,10.54,7.33,9.67,8.67,9.33,8.87,9.38,13.75
209,2061-07-29,7.21,4.83,6.67,3.42,5.96,3.67,5.79,6.67,5.09,6.54,11.17,9.25
210,2061-07-30,6.13,10.41,9.17,4.21,7.75,4.58,6.04,9.17,5.58,8.21,10.67,9.33
211,2061-07-31,7.67,6.71,9.38,4.17,5.25,2.79,3.75,2.25,3.17,5.54,6.17,9.67
212,2061-08-01,9.59,5.09,5.54,4.63,8.29,5.25,4.21,5.25,5.37,5.41,8.38,9.08
213,2061-08-02,10.0,5.58,6.71,6.0,8.96,6.67,8.87,7.12,7.79,8.75,8.71,11.87
214,2061-08-03,16.08,15.79,15.59,8.96,16.92,10.21,11.92,13.04,11.12,12.83,18.54,17.54
215,2061-08-04,11.0,9.21,10.58,7.54,13.17,9.62,13.54,11.79,11.67,10.21,16.04,20.25
216,2061-08-05,13.37,12.46,12.79,6.54,15.5,9.0,10.54,11.29,10.5,11.92,15.41,17.12
217,2061-08-06,8.38,6.71,8.42,5.83,10.04,6.75,7.87,7.12,6.46,8.0,7.92,10.79
218,2061-08-07,2.88,4.42,6.34,3.04,6.58,3.96,3.88,5.04,3.17,5.71,9.83,5.88
219,2061-08-08,14.21,9.87,11.63,6.42,12.38,6.96,10.63,7.12,7.38,7.79,10.08,6.83
220,2061-08-09,12.96,10.0,11.29,6.46,14.58,8.96,11.25,10.37,8.87,9.33,12.5,10.46
221,2061-08-10,6.63,6.71,6.0,2.5,7.58,3.58,4.67,8.33,2.83,5.41,9.96,10.96
222,2061-08-11,,6.75,8.29,5.0,8.58,4.83,6.83,6.25,5.79,5.25,5.88,8.38
223,2061-08-12,10.71,8.71,8.92,4.38,8.29,5.83,6.83,8.25,5.88,,14.29,13.21
224,2061-08-13,12.96,9.13,8.63,7.75,12.75,8.0,10.92,10.79,10.08,9.92,14.0,15.16
225,2061-08-14,16.42,10.88,9.87,8.79,16.21,11.46,15.09,13.37,12.87,12.92,15.37,
226,2061-08-15,15.34,8.75,10.54,6.83,12.96,7.54,9.42,8.92,8.79,9.13,9.59,13.04
227,2061-08-16,13.13,7.25,9.17,8.21,13.29,9.04,12.96,10.54,10.54,12.0,11.0,16.08
228,2061-08-17,13.62,8.17,9.71,7.0,14.25,8.83,10.21,10.5,10.79,11.25,15.5,14.62
229,2061-08-18,18.91,12.87,11.46,11.79,20.38,14.25,19.04,17.71,16.13,17.83,21.92,24.3
230,2061-08-19,18.08,12.42,12.67,10.58,15.87,11.54,13.21,11.04,12.46,11.79,13.79,15.59
231,2061-08-20,13.75,13.62,14.04,7.0,13.88,10.25,12.58,9.92,10.88,10.79,17.29,16.13
232,2061-08-21,18.16,14.58,14.62,11.67,21.04,15.34,19.0,17.79,17.5,15.46,20.21,22.29
233,2061-08-22,13.33,8.58,9.5,7.67,13.83,9.5,12.08,9.83,10.75,9.96,12.87,15.37
234,2061-08-23,9.62,8.92,10.46,3.96,9.46,6.79,8.17,7.96,7.08,8.0,10.04,12.62
235,2061-08-24,7.67,6.87,9.67,5.46,7.46,4.25,5.66,4.5,3.96,7.46,5.75,8.29
236,2061-08-25,14.33,13.59,17.83,8.21,12.17,9.67,10.92,14.0,9.59,15.21,19.55,16.17
237,2061-08-26,12.38,13.88,14.09,6.71,15.5,10.29,9.79,14.5,10.13,15.5,21.96,20.04
238,2061-08-27,11.25,13.59,13.21,6.08,13.29,10.13,12.12,16.83,9.71,15.96,23.38,20.62
239,2061-08-28,13.37,22.0,12.75,12.42,17.62,13.08,9.08,14.58,13.5,12.92,20.75,16.79
240,2061-08-29,14.46,16.04,12.75,9.17,19.21,12.12,14.12,16.54,12.0,16.13,24.71,22.54
241,2061-08-30,3.63,4.67,4.88,2.37,5.63,3.17,4.58,7.58,4.58,6.96,14.33,10.34
242,2061-08-31,4.83,7.04,2.46,3.25,8.5,4.83,2.92,6.42,4.29,6.54,17.16,8.0
243,2061-09-01,5.58,1.13,4.96,3.04,4.25,2.25,4.63,2.71,3.67,6.0,4.79,5.41
