,Location,Period,Indicator,Dim1,First Tooltip
31,Afghanistan,2009,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,95.23 [87.48-103.8]
32,Afghanistan,2009,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,87.47 [80.52-95.51]
33,Afghanistan,2008,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,95.4 [88.35-103.5]
34,Afghanistan,2008,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,99.26 [91.61-107.8]
35,Afghanistan,2008,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,91.39 [84.44-99.35]
36,Afghanistan,2007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,99.53 [92.3-107.6]
37,Afghanistan,2007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,103.4 [95.78-112.1]
38,Afghanistan,2007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,95.43 [88.38-103.4]
39,Afghanistan,2006,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,103.7 [96.31-112.1]
40,Afghanistan,2006,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,107.6 [99.68-116.4]
41,Afghanistan,2006,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,99.55 [92.29-107.8]
42,Afghanistan,2005,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,107.9 [100.3-116.5]
43,Afghanistan,2005,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,111.8 [103.7-121.1]
44,Afghanistan,2005,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,103.7 [96.2-112.2]
45,Afghanistan,2004,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,112.1 [104.2-121.2]
46,Afghanistan,2004,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,116.1 [107.7-125.7]
47,Afghanistan,2004,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,107.9 [100.1-116.7]
48,Afghanistan,2003,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,116.3 [108.1-125.8]
49,Afghanistan,2003,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,120.4 [111.7-130.3]
50,Afghanistan,2003,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,112 [104-121.3]
51,Afghanistan,2002,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,120.4 [111.9-130.2]
52,Afghanistan,2002,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,124.5 [115.5-134.8]
53,Afghanistan,2002,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,116.2 [107.8-125.8]
54,Afghanistan,2001,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,124.6 [115.8-134.6]
55,Afghanistan,2001,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,128.8 [119.5-139.4]
56,Afghanistan,2001,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,120.2 [111.5-129.9]
57,Afghanistan,2000,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,128.7 [119.6-138.9]
58,Afghanistan,2000,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,132.9 [123.3-143.8]
59,Afghanistan,2000,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,124.2 [115.2-134.3]
60,Afghanistan,1999,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,132.8 [123.2-143.5]
61,Afghanistan,1999,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,137.1 [127-148.2]
62,Afghanistan,1999,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,128.3 [118.8-138.5]
63,Afghanistan,1998,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,136.9 [127-147.9]
64,Afghanistan,1998,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,141.3 [130.7-152.7]
65,Afghanistan,1998,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,132.4 [122.5-143]
66,Afghanistan,1997,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,141.2 [130.8-152.4]
67,Afghanistan,1997,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,145.5 [134.6-157.4]
68,Afghanistan,1997,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,136.5 [126.3-147.6]
69,Afghanistan,1996,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,145.6 [134.7-157.3]
70,Afghanistan,1996,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,150 [138.7-162.3]
71,Afghanistan,1996,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,141 [130.1-152.6]
72,Afghanistan,1995,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,150.3 [138.7-162.6]
73,Afghanistan,1995,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,154.5 [142.7-167.4]
74,Afghanistan,1995,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,145.7 [134.4-157.9]
75,Afghanistan,1994,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,155.2 [143.1-168]
76,Afghanistan,1994,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,159.6 [147-173]
77,Afghanistan,1994,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,150.7 [138.5-163.5]
78,Afghanistan,1993,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,160.4 [147.8-173.9]
79,Afghanistan,1993,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,164.8 [151.4-178.8]
80,Afghanistan,1993,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,155.9 [143.2-169.4]
81,Afghanistan,1992,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,165.9 [152.6-180.2]
82,Afghanistan,1992,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,170.2 [156.3-185.1]
83,Afghanistan,1992,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,161.4 [148.1-175.7]
84,Afghanistan,1991,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,171.7 [157.6-186.9]
85,Afghanistan,1991,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,176 [161.3-191.9]
86,Afghanistan,1991,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,167.1 [153-182.6]
87,Afghanistan,1990,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,177.7 [162.5-194.3]
88,Afghanistan,1990,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,182 [166.6-199.3]
89,Afghanistan,1990,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,173.1 [158-189.7]
90,Afghanistan,1989,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,183.8 [167.9-202]
91,Afghanistan,1989,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,188.2 [172-207]
92,Afghanistan,1989,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,179.2 [163.1-197.3]
93,Afghanistan,1988,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,190.1 [173.5-209.9]
94,Afghanistan,1988,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,194.5 [177.4-215.1]
95,Afghanistan,1988,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,185.3 [168.5-205.2]
96,Afghanistan,1987,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,196.4 [178.8-218]
97,Afghanistan,1987,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,201 [182.7-223.6]
98,Afghanistan,1987,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,191.7 [173.6-213.2]
99,Afghanistan,1986,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,202.9 [184.1-226.1]
100,Afghanistan,1986,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,207.5 [188.1-231.9]
101,Afghanistan,1986,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,197.9 [178.7-221.2]
102,Afghanistan,1985,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,209.3 [189.5-234.5]
103,Afghanistan,1985,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,214.3 [193.6-240.5]
104,Afghanistan,1985,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,204.2 [184-229.2]
105,Afghanistan,1984,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,215.8 [194.7-242.4]
106,Afghanistan,1984,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,220.9 [199.1-248.6]
107,Afghanistan,1984,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,210.6 [189.3-237.5]
108,Afghanistan,1983,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,222.2 [200-250.3]
109,Afghanistan,1983,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,227.5 [204.6-256.5]
110,Afghanistan,1983,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,216.8 [194.5-245]
111,Afghanistan,1982,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,228.6 [205.5-258.4]
112,Afghanistan,1982,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,234 [210.1-264.6]
113,Afghanistan,1982,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,223.2 [199.7-252.9]
114,Afghanistan,1981,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,235.1 [210.8-266.2]
115,Afghanistan,1981,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,240.4 [215.6-272.4]
116,Afghanistan,1981,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,229.5 [204.7-260.1]
117,Afghanistan,1980,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,241.5 [216.2-273.6]
118,Afghanistan,1980,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,247 [221.1-280.3]
119,Afghanistan,1980,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,235.8 [210-267.3]
120,Afghanistan,1979,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,247.8 [221.6-280.7]
121,Afghanistan,1979,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,253.6 [226.6-287.7]
122,Afghanistan,1979,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,241.7 [215.1-274.5]
123,Afghanistan,1978,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,254 [226.8-287.7]
124,Afghanistan,1978,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,260 [232-295.3]
125,Afghanistan,1978,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,247.8 [220.2-281.5]
126,Afghanistan,1977,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,260.1 [232-295.1]
127,Afghanistan,1977,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,266.3 [236.8-302.9]
128,Afghanistan,1977,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,253.6 [225.4-288.6]
129,Afghanistan,1976,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,266.2 [236.9-302.7]
130,Afghanistan,1976,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,272.3 [242.1-310.6]
131,Afghanistan,1976,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,259.6 [230.2-295.8]
132,Afghanistan,1975,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,272 [241.6-309.8]
133,Afghanistan,1975,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,278.4 [247.3-318.1]
134,Afghanistan,1975,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,265.4 [234.8-303.2]
135,Afghanistan,1974,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,277.8 [246.7-317]
136,Afghanistan,1974,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,284.3 [252.5-324.9]
137,Afghanistan,1974,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,270.9 [239.7-309.9]
138,Afghanistan,1973,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,283.6 [251.7-323.7]
139,Afghanistan,1973,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,290.4 [257.1-331.9]
140,Afghanistan,1973,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,276.5 [244.1-316.5]
141,Afghanistan,1972,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,289.3 [256.2-330]
142,Afghanistan,1972,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,296 [261.7-338.3]
143,Afghanistan,1972,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,282 [248.7-322.9]
144,Afghanistan,1971,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,294.8 [260.9-336.4]
145,Afghanistan,1971,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,301.9 [266.5-345.3]
146,Afghanistan,1971,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,287.4 [253.3-328.8]
147,Afghanistan,1970,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,300.3 [266-342.3]
148,Afghanistan,1970,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,307.4 [271.5-351.3]
149,Afghanistan,1970,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,292.9 [258-334.5]
150,Afghanistan,1969,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,305.8 [270.8-347.9]
151,Afghanistan,1969,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,313.2 [276.6-357.1]
152,Afghanistan,1969,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,298.2 [263-339.7]
153,Afghanistan,1968,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,311.4 [275.4-354.1]
154,Afghanistan,1968,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,318.8 [281.8-363.3]
155,Afghanistan,1968,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,303.5 [267.6-345.4]
156,Afghanistan,1967,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,316.8 [280.1-360.1]
157,Afghanistan,1967,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,324.4 [287-369]
158,Afghanistan,1967,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,308.7 [272-351.4]
159,Afghanistan,1966,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,322 [284.8-366.3]
160,Afghanistan,1966,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,329.9 [291.4-375.3]
161,Afghanistan,1966,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,313.9 [276.4-358.2]
162,Afghanistan,1965,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,327.6 [289.1-372.5]
163,Afghanistan,1965,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,335.6 [296-382.7]
164,Afghanistan,1965,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,319.3 [280.6-364.4]
165,Afghanistan,1964,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,333.1 [293.1-380.4]
166,Afghanistan,1964,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,341.3 [300.1-390.8]
167,Afghanistan,1964,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,324.6 [284.6-371.9]
168,Afghanistan,1963,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,338.7 [296.7-389.9]
169,Afghanistan,1963,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,347.1 [303.5-399.5]
170,Afghanistan,1963,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,330 [287.9-380.8]
171,Afghanistan,1962,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,344.6 [299.4-399.3]
172,Afghanistan,1962,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,353.1 [306.1-410]
173,Afghanistan,1962,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,335.6 [290.1-390.4]
174,Albania,2019,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,9.68 [9.07-10.35]
175,Albania,2019,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,10.47 [9.78-11.25]
176,Albania,2019,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,8.85 [8.24-9.49]
177,Albania,2018,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,9.53 [9.07-10.02]
178,Albania,2018,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,10.29 [9.76-10.89]
179,Albania,2018,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,8.71 [8.23-9.2]
180,Albania,2017,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,9.42 [9.04-9.83]
181,Albania,2017,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,10.18 [9.73-10.68]
182,Albania,2017,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,8.61 [8.22-9.04]
183,Albania,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,9.42 [9.08-9.8]
184,Albania,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,10.19 [9.76-10.65]
185,Albania,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,8.6 [8.23-9.01]
186,Albania,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,9.57 [9.23-9.94]
187,Albania,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,10.35 [9.92-10.81]
188,Albania,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,8.74 [8.37-9.15]
189,Albania,2014,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,9.9 [9.55-10.27]
190,Albania,2014,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,10.75 [10.32-11.21]
191,Albania,2014,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,9 [8.63-9.41]
192,Albania,2013,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,10.43 [10.07-10.82]
193,Albania,2013,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,11.37 [10.91-11.84]
194,Albania,2013,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,9.45 [9.06-9.88]
195,Albania,2012,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,11.18 [10.81-11.58]
196,Albania,2012,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,12.22 [11.75-12.72]
197,Albania,2012,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,10.1 [9.68-10.53]
198,Albania,2011,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,12.14 [11.75-12.55]
199,Albania,2011,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,13.31 [12.81-13.83]
200,Albania,2011,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,10.92 [10.48-11.38]
201,Albania,2010,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,13.25 [12.83-13.68]
202,Albania,2010,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,14.57 [14.04-15.12]
203,Albania,2010,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,11.86 [11.39-12.34]
204,Albania,2009,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,14.45 [14.03-14.91]
205,Albania,2009,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,15.94 [15.39-16.52]
206,Albania,2009,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,12.89 [12.39-13.41]
207,Albania,2008,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,15.75 [15.28-16.22]
208,Albania,2008,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,17.46 [16.85-18.09]
209,Albania,2008,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,13.95 [13.42-14.51]
210,Albania,2007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,17.11 [16.61-17.63]
211,Albania,2007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,19.05 [18.38-19.72]
212,Albania,2007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,15.08 [14.5-15.68]
213,Albania,2006,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,18.52 [17.94-19.12]
214,Albania,2006,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,20.65 [19.89-21.44]
215,Albania,2006,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,16.28 [15.62-16.95]
216,Albania,2005,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,19.96 [19.21-20.76]
217,Albania,2005,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,22.28 [21.32-23.29]
218,Albania,2005,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,17.53 [16.73-18.36]
219,Albania,2004,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,21.43 [20.41-22.53]
220,Albania,2004,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,23.91 [22.66-25.22]
221,Albania,2004,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,18.83 [17.81-19.92]
222,Albania,2003,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,22.92 [21.56-24.39]
223,Albania,2003,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,25.52 [23.9-27.24]
224,Albania,2003,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,20.17 [18.87-21.58]
225,Albania,2002,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,24.37 [22.67-26.24]
226,Albania,2002,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,27.09 [25.08-29.28]
227,Albania,2002,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,21.5 [19.9-23.27]
228,Albania,2001,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,25.8 [23.74-28.06]
229,Albania,2001,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,28.62 [26.25-31.24]
230,Albania,2001,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,22.81 [20.9-24.91]
231,Albania,2000,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,27.21 [24.79-29.85]
232,Albania,2000,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,30.13 [27.39-33.15]
233,Albania,2000,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,24.11 [21.89-26.53]
234,Albania,1999,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,28.58 [25.89-31.57]
235,Albania,1999,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,31.62 [28.58-35.02]
236,Albania,1999,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,25.39 [22.88-28.16]
237,Albania,1998,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,29.95 [26.98-33.25]
238,Albania,1998,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,33.07 [29.72-36.76]
239,Albania,1998,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,26.65 [23.87-29.72]
240,Albania,1997,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,31.28 [28.12-34.9]
241,Albania,1997,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,34.49 [30.9-38.45]
242,Albania,1997,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,27.94 [24.97-31.23]
243,Albania,1996,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,32.62 [29.24-36.42]
244,Albania,1996,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,35.89 [32.08-40.16]
